year,general_name,completed_female_total,completed_male_total
2009,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),7667.0,33504.0
2009,"Engenharia, Producao E Construcao",6684.0,24975.0
2009,"Ciencias Naturais, Matematica E Estatistica",4693.0,3811.0
2010,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),7311.0,33049.0
2010,"Engenharia, Producao E Construcao",9462.0,28691.0
2010,"Ciencias Naturais, Matematica E Estatistica",6626.0,4893.0
2011,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6966.0,33811.0
2011,"Engenharia, Producao E Construcao",9613.0,28716.0
2011,"Ciencias Naturais, Matematica E Estatistica",7385.0,5631.0
2012,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),7226.0,34279.0
2012,"Engenharia, Producao E Construcao",11607.0,32330.0
2012,"Ciencias Naturais, Matematica E Estatistica",8041.0,6220.0
2013,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6639.0,33838.0
2013,"Engenharia, Producao E Construcao",11508.0,32389.0
2013,"Ciencias Naturais, Matematica E Estatistica",7734.0,5739.0
2014,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6551.0,35432.0
2014,"Engenharia, Producao E Construcao",12584.0,33119.0
2014,"Ciencias Naturais, Matematica E Estatistica",7890.0,5867.0
2015,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6801.0,37467.0
2015,"Engenharia, Producao E Construcao",14473.0,38449.0
2015,"Ciencias Naturais, Matematica E Estatistica",8394.0,6274.0
2016,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6509.0,37693.0
2016,"Engenharia, Producao E Construcao",14429.0,39801.0
2016,"Ciencias Naturais, Matematica E Estatistica",8454.0,6682.0
2017,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6148.0,35835.0
2017,"Engenharia, Producao E Construcao",14933.0,41699.0
2017,"Ciencias Naturais, Matematica E Estatistica",8805.0,7256.0
2018,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6058.0,37609.0
2018,"Engenharia, Producao E Construcao",15980.0,45572.0
2018,"Ciencias Naturais, Matematica E Estatistica",8602.0,7299.0
2019,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),6147.0,38881.0
2019,"Engenharia, Producao E Construcao",14790.0,44436.0
2019,"Ciencias Naturais, Matematica E Estatistica",8193.0,6957.0
2020,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),7242.0,44582.0
2020,"Engenharia, Producao E Construcao",13981.0,42370.0
2020,"Ciencias Naturais, Matematica E Estatistica",6945.0,5804.0
2021,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),8237.0,46944.0
2021,"Engenharia, Producao E Construcao",12843.0,40731.0
2021,"Ciencias Naturais, Matematica E Estatistica",7110.0,6118.0
2022,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),9638.0,52804.0
2022,"Engenharia, Producao E Construcao",12107.0,39741.0
2022,"Ciencias Naturais, Matematica E Estatistica",7517.0,6629.0
